@id;@lon;@lat;name;addr:city;addr:street;addr:postcode;addr:housenumber
1529223354;11.0547321;49.4507255;Orient Express;Nürnberg;Kernstraße;90429;3
1529569924;11.0551210;49.4471572;La Locanda;Nürnberg;Austraße;90429;15
1529569956;11.0548570;49.4493291;Palmengarten;;;;
1529569969;11.0541588;49.4491322;Herr Lenz;Nürnberg;Kernstraße;90429;29
1529570415;11.0703480;49.4507308;Wöhrl-Bistro;;;;
1529939900;11.0512897;49.4543640;Lederer Kulturbrauerei;Nürnberg;Sielstraße;90429;12
1530021448;11.0963443;49.4397354;Vis-a-Vis;Nürnberg;Holzgartenstraße;90461;25
1530061819;11.1137324;49.4440285;La TRAT-TORIA;;Zerzabelshofstraße;;60
1531927665;11.1216455;49.4400107;Gasthaus Heidekrug;Nürnberg;Waldluststraße;90480;67
1536001664;11.0684045;49.4370351;Bardolino;;;;
1536001667;11.0705168;49.4399183;Merci;Nürnberg;Melanchthonplatz;90443;9
1536001676;11.0681598;49.4413313;Pizza Pietro;;;;
1537211248;11.0365176;49.4568554;Asia Star;Nürnberg;Fürther Straße;90429;187-189
1537316232;11.0682392;49.4364593;Asia Imbiss Hoa-Sen-Vang;Nürnberg;Gibitzenhofstraße;90443;83
1537316235;11.0680567;49.4340930;Gastro Galia;;;;
1537342265;11.0667076;49.4280020;Gaststätte Wagner;;;;
1537342267;11.0686286;49.4280524;Gaststätte Waldmeister;;Platenstraße;;19
1537342286;11.0647700;49.4289819;Loosgarten;;;;
1538718071;11.0731419;49.4409858;Fasan;;;;
1538718094;11.0722620;49.4376775;Humboldt Klause;;;;
1538718199;11.0762871;49.4347310;bei Socrates;;;;
1538718203;11.0761542;49.4362991;Ambrosia;;Körnerstraße;;54
1538718204;11.0769288;49.4348990;Österreicher Hof;;;;
1538736315;11.0771095;49.4385311;Südlich geniessen;Nürnberg;Tafelfeldstraße;90443;73
1538736337;11.0780713;49.4370303;Volta-Garten;;Voltastraße;;17
1538754430;11.0792624;49.4330400;Galvani;;;;
1539208461;11.0758997;49.4423408;Huahin;Nürnberg;Tafelfeldstraße;90443;17
1539224251;11.0785051;49.4384942;Santorini;;Humboldtstraße;;88
1539236990;11.0801725;49.4411045;Pizzeria Portofino;Nürnberg;Aufseßplatz;90459;17
1539237046;11.0800584;49.4424965;Schrödl;;;;
1539237063;11.0805528;49.4436426;South Side;;;;
1539261999;11.0725807;49.4496917;Sausalitos;;;;
1539266247;11.0720940;49.4519915;Cucina al centro;Nürnberg;Hintere Ledergasse;90403;26
1539266249;11.0742221;49.4523667;Das Karl's Brückla;Nürnberg;Obere Wörthstraße;90403;2
1539266253;11.0722457;49.4521873;El Pancho;Nürnberg;Mühlgasse;90403;1-3
1539266291;11.0738694;49.4522604;Sushi Nagoya;Nürnberg;Hintere Ledergasse;90403;4
1539266301;11.0724762;49.4516520;il dolce & i panini;Nürnberg;Hutergasse;90403;7
1539339089;11.0859296;49.4473746;Fulihua;;;;
1539339252;11.0857908;49.4484750;Vina Asia;;;;
1539363886;11.0822927;49.4425631;Abessinia;;Comeniusstraße;;16
1540157496;11.0814764;49.4391694;Pizzeria Mario;;;;
1540323025;11.0828600;49.4382969;Bitburger Stuben;;Kopernikusstraße;;6
